task_id,milestone_label,category,original_definition,forecast_source,p10_year,p50_year,p90_year,audit_status_2026,actual_year_if_achieved,candidate_or_progress_year,band_result,confidence,primary_evidence_url,secondary_evidence_url,evidence_summary,strictness_notes,chart_use,audited_on
rosetta,Translate a new-to-humanity language,language,"Translate a text written in a newly discovered language into English as well as a team of human experts, using a single other document in both languages (like a Rosetta stone).",2016 ESPAI fixed-probabilities framing,2026,2036,2066,not demonstrated,,,,medium,https://arxiv.org/abs/2505.21781,,"Recent low-resource speech-translation work shows progress, but I did not locate a public demonstration of translating a newly discovered language from a single bilingual document at human-expert level.",Absence of a located public demonstration is not proof that no private system can do it.,exclude from achieved markers,2026-06-10
subtitles,Translate a new-to-it language,language,"Translate speech in a new language given only unlimited films with subtitles in the new language, with training data for other languages.",2016 ESPAI fixed-probabilities framing,2021,2026,2031,not demonstrated,,,,medium,https://arxiv.org/abs/2505.21781,,"Low-resource speech translation has improved, but I did not locate a public system learning a new language solely from unlimited subtitled films plus other-language training data.",The original training-data condition is unusually specific.,exclude from achieved markers,2026-06-10
translate,Translate as well as bilingual humans,language,"Perform translation about as good as a human fluent in both languages but unskilled at translation, for most text types and popular languages.",2016 ESPAI fixed-probabilities framing,2019,2023,2031,partial / narrower benchmark,,2018,,high,https://blogs.microsoft.com/ai/chinese-to-english-translator-milestone/,https://arxiv.org/abs/1808.10432,A 2018 Microsoft system reported human parity on a Chinese-to-English news benchmark. A subsequent reassessment argued that parity did not hold under stronger evaluation.,"The original task requires parity for most text types and popular languages, not one news-domain language pair.","show as partial, not achieved",2026-06-10
phone_bank,Phone bank as well as humans,service,"Provide phone banking services as well as human operators can, without annoying customers more than humans.",2016 ESPAI fixed-probabilities framing,2019,2022,2026,not demonstrated,,,,medium,https://www.acsi.org/industries/finance-and-insurance/banks/,https://cresta.com/guides/guides-voice-ai-platforms-banking,"Voice agents handle routine banking workflows, but I did not locate a public bank-specific benchmark showing service quality equal to human operators without greater customer annoyance.",Vendor deployment claims are not a parity benchmark.,exclude from achieved markers,2026-06-10
class,Correctly group unseen objects,vision,Correctly group images of previously unseen objects into classes after training on a similar labeled dataset containing completely different classes.,2016 ESPAI fixed-probabilities framing,2018,2020.5,2022.5,likely achieved,2021,2021,inside 10–90% band,medium,https://openai.com/index/clip/,,CLIP demonstrated zero-shot transfer to visual classification benchmarks using category names not seen as task-specific training labels.,CLIP's natural-language supervision is not identical to the original setup of training on a labeled dataset with completely different classes.,include with qualification,2026-06-10
one_shot,One-shot image labeling,vision,"See only one labeled image of a new object, then recognize the object in real-world scenes to the extent that a typical human can.",2016 ESPAI fixed-probabilities framing,2020.5,2024,2036,partial / narrower benchmark,,2018,,medium,https://www.microsoft.com/en-us/research/publication/memory-matching-networks-for-one-shot-image-recognition/,,"One-shot image-recognition systems have demonstrated learning from one example, but I did not locate a clean public demonstration matching typical-human recognition in real-world scenes.",Benchmark one-shot recognition is narrower than robust real-world scene recognition.,"show as partial, not achieved",2026-06-10
video_scene,Generate video from a photograph,vision / generative media,"See a short video of a scene, then construct a 3D model good enough to create a realistic video of the same scene from a substantially different angle.",2016 ESPAI fixed-probabilities framing,2021,2026,2036,likely achieved,2020,2020,before 10% band,medium,https://arxiv.org/abs/2012.12247,https://arxiv.org/abs/2003.08934,NR-NeRF demonstrated dynamic-scene reconstruction and novel-view rendering from monocular video; NeRF established high-quality novel-view synthesis from images.,"The quality threshold 'realistic video' is judgment-based, and the exact capture assumptions matter.",include with qualification,2026-06-10
transcribe,Transcribe as well as humans,speech,Transcribe human speech with a variety of accents in a noisy environment as well as a typical human can.,2016 ESPAI fixed-probabilities framing,2021,2026,2036,partial / close but not proven,,2022,,high,https://arxiv.org/abs/2212.04356,,Whisper reported approaching human-level robustness and accuracy across diverse speech data.,Approaching human performance is not the same as proving parity across noisy environments and varied accents.,"show as partial, not achieved",2026-06-10
read_aloud,Read aloud better than humans,speech,Take a written passage and output a recording that cannot be distinguished from a voice actor by an expert listener.,2016 ESPAI fixed-probabilities framing,2021,2026,2031,likely achieved,2022,2022,inside 10–90% band,medium,https://arxiv.org/abs/2205.04421,https://arxiv.org/abs/2403.03100,NaturalSpeech reported no statistically significant quality difference from human recordings on a benchmark; later work continued to report on-par quality.,The original test is stricter: indistinguishable from a voice actor to an expert listener.,include with qualification,2026-06-10
theorems,Prove and generate top theorems,math,"Routinely and autonomously prove mathematical theorems publishable in top mathematics journals today, including generating the theorems to prove.",2016 ESPAI fixed-probabilities framing,2026,2066,2106,not demonstrated,,2026,,high,https://arxiv.org/abs/2602.10177,,"Recent autonomous mathematics agents show meaningful research progress, but I did not locate evidence of routinely and autonomously generating and proving top-journal-level theorems.",One-off assistance or selected open problems is not routine autonomous top-journal mathematics.,exclude from achieved markers,2026-06-10
